nome_da_maquininha;código da maquininha;grupo;débito;pré-pago débito;crédito;pré-pago crédito;taxa_credito_parcelado_2;taxa_credito_parcelado_3;taxa_credito_parcelado_4;taxa_credito_parcelado_5;taxa_credito_parcelado_6;taxa_credito_parcelado_7;taxa_credito_parcelado_8;taxa_credito_parcelado_9;taxa_credito_parcelado_10;taxa_credito_parcelado_11;taxa_credito_parcelado_12
SVG 07;12742576;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
SVG 08;12742714;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
SVG 09;12742678;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
ALC 09;1726457;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
ALC 11;1726461;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
ALC 13;1726459;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
DSG 01;12774897;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
DSG 02;12774908;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
DSG 04;12774921;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
DSG 05;12774913;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
DSC 03;1670201;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
DSC 07;1670438;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
DSC 09;1669979;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
AZR 01;FC231630;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
JER 01;FC207760;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
JER 02;FC315291;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
JER 03;FC539963;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
JER 04;FC541102;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
DSR 02;SN050413;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
DSR 03;SN146286;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
DSR 04;SN060920;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
ATR 02;SN462919;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
ATR 03;SN332162;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
SVR 01;SN462772;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
SVR 04 - BO;SN260190;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
PLG 01;12940413;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
PLG 02;12940478;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
PLG 03;12940405;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
PLG 04;12940521;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
PLG 05;12940492;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
PLG 06;12940423;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
AZR 04;SN531380;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
PLR 03;SN585657;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
RDR 01;SN582156;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
STR 02;SN383620;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
STR 03;SN646261;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
STC 03;1540402;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
STC 04;1540413;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
STC 05;1540415;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
STC 06;1540358;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
STC 07;1540408;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
STC 08;55524;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
STC 09 - BO;1540084;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
FTR 01;SN040348;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
FTR 02;SN671697;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
FTR 03;SN671696;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
STG 01;13257528;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
STG 02;13257529;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
STG 03;13252554;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
STG 05;13252549;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
FTG 03;13264362;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
RNG 03;13264274;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
FTG 04;13316561;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
FTG 05;13316506;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
FTG 06;13316526;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
FTR 04;SN404690;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
FTC 03;1330797;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
FTC 04;903334;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
FTC 05;1329501;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
RNG 07;13257753;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
RNG 08;13257829;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
RNG 09;13257813;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
RNC 03;296185;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
WFG 01;13491382;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
MFG 01;13581533;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
GBG 01;13592496;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
GBG 02;13581612;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
MFG 02;13581486;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
MFG 03;13581563;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
MFG 04;13581583;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
GBG 04;13581603;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
GBG 05;13581627;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
CLG 01;13724061;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
CLG 02;13718690;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
CLG 05;13718678;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
DYG 01;13718794;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
DYG 03;13718843;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
DYG 04;13718811;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
LMG 01;13718958;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
LMG 02;13718978;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
LMG 03;13718962;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
LMG 04;13722465;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
RDC 03;41613;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
MFR 01;SV001490;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
GBR 01;SV004944;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
MFR 02;SV010900;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
HNG 01;13791394;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
HNR 01;SV005805;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
HNR 02;SV004945;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
MFR 04;SV004960;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
GBR 03;SV001480;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
GBR 04;SV005431;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
MFC 02;1282274;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
MFC 03;1283399;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
MFC 04;1287764;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
MFC 05;1282382;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
MFC 06;1287302;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
MFC 08;1287522;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
MFC 09;1257304;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
HNG 05;13790466;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
CMR 105;SV021179;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
HNG 03;13797287;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
HNG 04;13791419;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
CMR 113;SN307260;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
CMR 112;SV021013;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
CMR 103;SV021011;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
GBC 01;602549;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
GBC 02;600841;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
SJG 01;13996505;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
BLG 03;13960779;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
BLG 04;13959976;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
CLR 06;SN709040;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
SJG 02;14029354;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
LMR 04;SN987382;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
CLR 04;SN773402;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
SJG 02B;14029425;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
BLR 01;SN877272;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
BLR 02;SN435800;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
BLG 01;13960941;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
BLR 03;SN971696;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
CMR 106;SN419861;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
GSG 03;13987711;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
TFG 02;13840283;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
TFR 02;SN924912;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
GSG 06;13987807;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
CMR 109;SN442990;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
CLR 02;SN649806;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
GSR 01;SN688644;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
GSR 02;SN227293;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
GSR 03;SN906221;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
GSR 04;SN636865;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
GSR 05;SN883303;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
GSR 06;SN496256;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
EVR 01;SN728404;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
EVR 02;SV017984;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
EVR 03;SN743961;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
GSR 07;SN509082;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
RYR 02;SV172650;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
RYR 03;SN274390;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
RYR 01;SN775465;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
PSG 08;14372543;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
ENR 01;SV158887;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
ENR 03;SV158863;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
CMR 438;SV177334;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
ENG 01;14436930;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
ENG 02;14436989;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
ENG 04;14443608;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
ENR 07;SN103438;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
ENR 08;SV160037;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
DMG 01;14449676;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
DMG 02;14449668;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
DMG 04;14449664;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
DMG 05;14449671;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
SZG 01;14453308;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
ENC 02;577808;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
NWG 01;14487890;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
NWG 02;14487214;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
NWG 03;14487235;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
SZG 02;14472181;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
DMG 06;14490472;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
DMG 07;14490511;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
DMG 08;14490450;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
DMG 09;14490490;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
DMG 10;14490531;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
TFR 05;SN991599;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
TFR 06;SN818507;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
TFR 07;SN018437;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
TFR 08;SN009992;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
OLG 01;14497665;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
OLG 02;14497634;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
OLG 03;14497679;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
OLG 05;14497613;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
SZR 01;SD007666;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
SZR 02;SD094973;grupo 4 PE;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
